ID;OLT;Hora;F/S/P;ONT ID;MAC;CLIENTE;S/N;RX (dBm);TX (dBm);Status;Primária;Secundária;Porta Sec.;Descrição OLT;Mudanças
8783;95;2025-06-16 09:23:54.366909;0/2/9;1;AC:F9:70:64:BE:5A;;48575443A734319B;-22.75;1.97;online;AF88;AF88-S1;P4;AF88S1 P4;Não
8784;95;2025-06-16 09:23:56.038580;0/2/9;2;C8:8D:83:AC:BC:B6;;48575443ACBCB59A;-30.0;2.19;online;AF88;AF88-S1;P3;AF88S1 P3;Não
8786;95;2025-06-16 09:23:57.589910;0/2/9;6;D0:EF:C1:61:A3:7A;;4857544332EF659D;-25.08;2.33;online;AF88;AF88-S8;P13;AF88S8 P13;Não
8514;95;2025-06-16 09:17:11.698248;0/3/0;0;A0:8C:F8:26:CE:36;;4857544326CE3593;-20.81;1.86;online;AF91;AF91-S7;P1;AF91S7 P1;Não
8516;95;2025-06-16 09:17:12.251834;0/3/0;1;;;4857544313966E9E;;;offline;A8F91;A8F91-S4;P2;A8F91S4 P2;Não
8518;95;2025-06-16 09:17:13.824207;0/3/0;2;08:C0:21:8A:ED:81;;485754431E0A4B3C;-21.13;2.05;online;AF91;AF91-S4;P3;AF91S4 P3;Não
8810;95;2025-06-16 09:24:39.903444;0/3/10;0;DC:99:14:0B:92:6A;;4857544303ED219D;-20.55;2.06;online;AF98;AF98-S2;P1;AF98S2 P1;Não
8811;95;2025-06-16 09:24:48.297998;0/3/12;0;7C:C3:85:4D:C5:19;;485754430A12A19E;-20.0;2.26;online;AF911;AF911-S2;P1;AF911S2 P1;Não
8813;95;2025-06-16 09:24:49.901269;0/3/12;1;60:9B:B4:A1:98:3B;;485754437C0BE9AF;-21.48;2.01;online;8F911;8F911-S3;P1;8F911S3 P1;Não
8812;95;2025-06-16 09:24:49.717713;0/3/14;0;;;485754430A4A239D;;;offline;A8F910;A8F910-S5;P1;A8F910S5 P1;Não
8798;95;2025-06-16 09:24:18.681830;0/3/2;0;A0:8C:F8:EE:5D:DB;;48575443EE5DDA93;-25.85;2.22;online;AF93;AF93-S8;P1;AF93S8 P1;Não
8799;95;2025-06-16 09:24:19.228198;0/3/2;1;;;48575443E769EA9D;;;offline;AF93;AF93-S2;P2;AF93S2 P2;Não
8800;95;2025-06-16 09:24:20.787917;0/3/2;2;58:F9:87:CB:B3:C8;;48575443542D8F9C;-25.85;2.0;online;AF93;AF93-S8;P2;AF93S8 P2;Não
8801;95;2025-06-16 09:24:22.946732;0/3/2;3;7C:D9:A0:52:50:B8;;485754438D5C30A4;-26.02;2.26;online;A8F93;A8F93-S8;P3;A8F93S8 P3;Não
8519;95;2025-06-16 09:17:18.956708;0/3/3;0;5C:E7:47:C7:46:07;;48575443A65360AB;-20.36;2.18;online;AF74;AF74-S2;P3;AF74S2 P3;Não
8521;95;2025-06-16 09:17:19.491924;0/3/3;1;;;48575443E6BC759A;;;offline;AF74;AF74-S2;P2;AF74S2 P2;Não
8802;95;2025-06-16 09:24:24.415958;0/3/4;1;18:DE:D7:99:EF:05;;4857544399EF048A;-20.86;1.94;online;AF85;AF85-S5;P4;AF85S5 P4;Não
